origin,destination,weight,unsigned_weight
0,1,0.627919858,0.627919858
0,2,-0.589270908,0
0,3,0.518077193,0.518077193
0,4,0.639222938,0.639222938
0,5,0.56674102,0.56674102
0,6,0.53743639,0.53743639
1,0,0.711014631,0.711014631
1,2,-0.564816462,0
1,4,0.563844892,0.563844892
1,26,-0.577226534,0
2,3,-0.608384732,0
2,4,-0.795081074,0
2,17,-0.767955765,0
2,28,0.570678687,0.570678687
3,2,-0.567175572,0
3,4,0.579686452,0.579686452
3,17,0.707764959,0.707764959
3,28,-0.582675495,0
3,35,-0.500505715,0
4,1,0.562542283,0.562542283
4,2,-0.81103013,0
4,3,0.675321237,0.675321237
4,17,0.630131479,0.630131479
5,3,0.639933322,0.639933322
6,31,0.524076352,0.524076352
6,57,-0.632524718,0
6,60,-0.634020884,0
7,8,0.50593954,0.50593954
7,9,0.629464743,0.629464743
7,10,-0.858962924,0
7,11,0.540785847,0.540785847
7,12,-0.529128169,0
7,13,0.810253936,0.810253936
8,14,0.519534415,0.519534415
8,15,-0.720402994,0
9,14,0.546490012,0.546490012
9,25,-0.61081113,0
10,18,0.524338881,0.524338881
10,25,0.830168821,0.830168821
10,38,0.64136621,0.64136621
10,39,-0.503605901,0
11,25,-0.55216885,0
11,32,0.65526054,0.65526054
12,18,0.687748289,0.687748289
12,20,-0.596365123,0
12,25,0.567689478,0.567689478
12,53,0.533789845,0.533789845
12,54,-0.57792833,0
12,67,-0.718823589,0
13,19,0.563391109,0.563391109
13,20,0.503124881,0.503124881
13,25,-0.933197062,0
13,67,0.536225827,0.536225827
14,23,-0.50129455,0
14,27,0.581852137,0.581852137
15,14,0.519411655,0.519411655
15,55,-0.660803661,0
15,61,-0.703077713,0
15,62,-0.617528377,0
16,1,-0.514699541,0
16,17,0.563282518,0.563282518
17,2,-0.623562327,0
17,3,0.560785532,0.560785532
17,22,-0.556845878,0
17,28,-0.702224499,0
17,58,-0.616783256,0
18,3,-0.502277637,0
18,19,-0.533852428,0
18,20,-0.50644439,0
18,21,-0.548076406,0
18,22,0.538729759,0.538729759
19,15,0.595298849,0.595298849
20,8,0.5997173,0.5997173
20,10,-0.566210259,0
20,15,0.634461257,0.634461257
20,21,0.518226175,0.518226175
20,22,-0.874199685,0
21,37,-0.520577037,0
21,62,-0.579774145,0
22,8,0.528356308,0.528356308
22,17,-0.505698345,0
22,37,0.542025769,0.542025769
22,61,0.586728573,0.586728573
22,62,0.505769818,0.505769818
23,24,-0.595283073,0
24,43,0.630294449,0.630294449
25,8,-0.517584457,0
25,15,-0.903837487,0
25,22,0.618542489,0.618542489
26,1,-0.649973269,0
26,46,-0.552584668,0
26,53,0.53218079,0.53218079
26,64,-0.56358482,0
27,11,-0.514993473,0
28,2,0.517818742,0.517818742
28,3,-0.53154533,0
28,16,-0.680228902,0
28,17,-0.754601207,0
28,22,0.537583331,0.537583331
28,31,-0.541202397,0
28,49,0.520019785,0.520019785
28,58,0.639064707,0.639064707
28,60,0.697197503,0.697197503
29,30,0.503787281,0.503787281
29,31,0.532001769,0.532001769
31,1,-0.54438858,0
31,16,0.659489632,0.659489632
31,30,0.712890706,0.712890706
31,57,-0.682073707,0
31,58,-0.780898251,0
31,60,-0.6498944,0
32,33,-0.56972274,0
32,34,-0.520953825,0
33,9,0.503503521,0.503503521
33,23,0.681368309,0.681368309
33,41,-0.72113732,0
34,3,0.613500497,0.613500497
36,0,-0.610486498,0
36,37,-0.605716961,0
37,10,-0.505582817,0
37,27,0.671560989,0.671560989
37,29,0.552864503,0.552864503
37,45,-0.697771854,0
38,20,-0.528798618,0
39,25,0.586575102,0.586575102
39,28,-0.56935502,0
39,60,-0.56940629,0
40,7,0.656380733,0.656380733
41,3,0.563007696,0.563007696
41,24,0.670718402,0.670718402
41,42,0.502775905,0.502775905
41,43,-0.511845086,0
43,19,0.602903758,0.602903758
43,42,0.529401224,0.529401224
43,59,-0.546923318,0
44,45,-0.618911673,0
44,46,-0.51183572,0
45,38,0.575221083,0.575221083
