origin,destination,weight,unsigned_weight
0,2071,0.627919858,0.627919858
0,623,-0.589270908,0.0
0,3,0.518077193,0.518077193
0,349,0.639222938,0.639222938
0,1868,0.56674102,0.56674102
0,903,0.53743639,0.53743639
1,1104,0.711014631,0.711014631
1,1244,-0.564816462,0.0
1,1936,0.563844892,0.563844892
1,992,-0.577226534,0.0
2,1521,-0.608384732,0.0
2,211,-0.795081074,0.0
2,1052,-0.767955765,0.0
2,1132,0.570678687,0.570678687
3,347,-0.567175572,0.0
3,487,0.579686452,0.579686452
3,1466,0.707764959,0.707764959
3,580,-0.582675495,0.0
3,656,-0.500505715,0.0
4,139,0.562542283,0.562542283
4,1313,-0.81103013,0.0
4,417,0.675321237,0.675321237
4,1535,0.630131479,0.630131479
5,1245,0.639933322,0.639933322
6,514,0.524076352,0.524076352
6,1575,-0.632524718,0.0
6,1992,-0.634020884,0.0
7,1526,0.50593954,0.50593954
7,1182,0.629464743,0.629464743
7,769,-0.858962924,0.0
7,1253,0.540785847,0.540785847
7,909,-0.529128169,0.0
7,1393,0.810253936,0.810253936
8,497,0.519534415,0.519534415
8,636,-0.720402994,0.0
9,1463,0.546490012,0.546490012
9,232,-0.61081113,0.0
10,639,0.524338881,0.524338881
10,2026,0.830168821,0.830168821
10,383,0.64136621,0.64136621
10,1350,-0.503605901,0.0
11,1405,-0.55216885,0.0
11,1412,0.65526054,0.65526054
12,570,0.687748289,0.687748289
12,1331,-0.596365123,0.0
12,922,0.567689478,0.567689478
12,1709,0.533789845,0.533789845
12,2055,-0.57792833,0.0
12,1102,-0.718823589,0.0
13,1675,0.563391109,0.563391109
13,2090,0.503124881,0.503124881
13,1129,-0.933197062,0.0
13,2206,0.536225827,0.536225827
14,575,-0.50129455,0.0
14,2166,0.581852137,0.581852137
15,290,0.519411655,0.519411655
15,1159,-0.660803661,0.0
15,2131,-0.703077713,0.0
15,269,-0.617528377,0.0
16,1864,-0.514699541,0.0
16,638,0.563282518,0.563282518
17,1865,-0.623562327,0.0
17,555,0.560785532,0.560785532
17,1609,-0.556845878,0.0
17,1477,-0.702224499,0.0
17,1852,-0.616783256,0.0
18,72,-0.502277637,0.0
18,226,-0.533852428,0.0
18,1400,-0.50644439,0.0
18,1746,-0.548076406,0.0
18,1747,0.538729759,0.538729759
19,636,0.595298849,0.595298849
20,1388,0.5997173,0.5997173
20,1114,-0.566210259,0.0
20,2085,0.634461257,0.634461257
20,1884,0.518226175,0.518226175
20,2092,-0.874199685,0.0
21,658,-0.520577037,0.0
21,1511,-0.579774145,0.0
22,146,0.528356308,0.528356308
22,2087,-0.505698345,0.0
22,934,0.542025769,0.542025769
22,1096,0.586728573,0.586728573
22,200,0.505769818,0.505769818
23,231,-0.595283073,0.0
24,1837,0.630294449,0.630294449
25,146,-0.517584457,0.0
25,291,-0.903837487,0.0
25,2161,0.618542489,0.618542489
26,1657,-0.649973269,0.0
26,1840,-0.552584668,0.0
26,1157,0.53218079,0.53218079
26,1858,-0.56358482,0.0
27,218,-0.514993473,0.0
28,1037,0.517818742,0.517818742
28,624,-0.53154533,0.0
28,2017,-0.680228902,0.0
28,638,-0.754601207,0.0
28,643,0.537583331,0.537583331
28,1756,-0.541202397,0.0
28,1567,0.520019785,0.520019785
28,1921,0.639064707,0.639064707
28,1095,0.697197503,0.697197503
29,1686,0.503787281,0.503787281
29,445,0.532001769,0.532001769
31,553,-0.54438858,0.0
31,2086,0.659489632,0.659489632
31,996,0.712890706,0.712890706
31,540,-0.682073707,0.0
31,1645,-0.780898251,0.0
31,543,-0.6498944,0.0
32,1689,-0.56972274,0.0
32,1966,-0.520953825,0.0
33,1320,0.503503521,0.503503521
33,1541,0.681368309,0.681368309
33,1076,-0.72113732,0.0
34,1038,0.613500497,0.613500497
36,828,-0.610486498,0.0
36,175,-0.605716961,0.0
37,562,-0.505582817,0.0
37,1959,0.671560989,0.671560989
37,1616,0.552864503,0.552864503
37,1563,-0.697771854,0.0
38,434,-0.528798618,0.0
39,94,0.586575102,0.586575102
39,1822,-0.56935502,0.0
39,543,-0.56940629,0.0
40,421,0.656380733,0.656380733
41,1245,0.563007696,0.563007696
41,2025,0.670718402,0.670718402
41,1905,0.502775905,0.502775905
41,664,-0.511845086,0.0
