step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,351.678418,66.739609,1.747429,65.946959,1.352890,46.282233,1.316855,68.367541,1.473960,68.937109,1.483763,65.272766,1.492815,62.668454,1.427901,70.565363,1.250385,55.582868,1.726151,74.702999,1.477550
1,309.761779,79.482933,1.161121,70.393874,1.188792,45.010900,1.875288,75.979900,1.104290,76.387206,1.084406,74.675727,1.212329,69.863265,1.303245,79.782270,1.027564,66.648280,1.550603,86.027477,0.883119
2,275.893645,86.805897,0.836720,71.691369,1.207386,47.276655,2.242546,80.847082,0.979579,80.500088,0.962969,80.799966,1.032765,74.922346,1.229026,86.031740,0.824512,75.221761,1.360138,91.807611,0.569822
3,246.122935,91.438788,0.623256,71.374521,1.337228,50.756455,2.490517,84.593018,0.904735,83.301028,0.921126,85.038831,0.906961,78.733058,1.184605,90.292539,0.659825,81.851465,1.170461,94.990893,0.386988
4,219.644877,94.510273,0.466557,70.286275,1.559990,54.315591,2.683604,87.651775,0.839628,85.501629,0.910037,88.064706,0.815332,81.731101,1.158975,93.220602,0.529023,86.887589,0.989033,96.833146,0.272979
5,196.612340,96.572249,0.343970,69.049064,1.861774,57.450503,2.862450,90.165849,0.773703,87.386947,0.908425,90.262339,0.747830,84.160019,1.144675,95.245258,0.424777,90.643746,0.821585,97.938708,0.198426
6,177.022775,97.938447,0.245840,68.128307,2.219815,59.963861,3.051669,92.211267,0.705310,89.057870,0.904614,91.879543,0.698389,86.168804,1.136050,96.650975,0.341012,93.399059,0.671035,98.621986,0.147837
7,160.527821,98.814518,0.168302,67.790101,2.601948,61.838183,3.268478,93.852066,0.635858,90.526156,0.893296,93.086988,0.662939,87.855664,1.129154,97.630143,0.273408,95.387519,0.538889,99.055495,0.112499
8,146.617487,99.350919,0.109480,68.087180,2.974615,63.165965,3.524280,95.151203,0.567767,91.771374,0.874918,94.005032,0.638423,89.289157,1.121541,98.314674,0.218859,96.800313,0.425967,99.337442,0.087226
9,134.790620,99.662239,0.067379,68.923375,3.312751,64.093422,3.823604,96.169712,0.503336,92.776865,0.854183,94.718383,0.622315,90.518831,1.111853,98.795388,0.174947,97.791231,0.332148,99.525235,0.068778
10,124.621814,99.833101,0.039168,70.154753,3.603766,64.779014,4.163866,96.963374,0.444175,93.543506,0.837623,95.285965,0.612477,91.581218,1.099473,99.134752,0.139691,98.480222,0.256137,99.653174,0.055056
11,115.768516,99.921764,0.021496,71.659414,3.844017,65.367828,4.536404,97.580476,0.391112,94.086852,0.831585,95.748365,0.607160,92.503814,1.084325,99.375678,0.111442,98.956975,0.195745,99.742195,0.044671
12,107.961554,99.965262,0.011133,73.355445,4.032905,65.977121,4.928207,98.061177,0.344302,94.428363,0.841449,96.133478,0.605014,93.307930,1.066718,99.547669,0.088842,99.286049,0.148424,99.805352,0.036686
13,100.992306,99.985419,0.005436,75.188581,4.169423,66.688763,5.324007,98.437817,0.303393,94.588133,0.871867,96.460619,0.605045,94.010676,1.047196,99.671082,0.070782,99.512783,0.111721,99.850963,0.030459
14,94.698052,99.994225,0.002499,77.114657,4.251982,67.547303,5.708613,98.735662,0.267714,94.581225,0.927442,96.743358,0.606551,94.626226,1.026402,99.760039,0.056367,99.668658,0.083495,99.884443,0.025541
