step,l2,n52_ind,n52_alloc,n24_ind,n24_alloc,n23_ind,n23_alloc,n5_ind,n5_alloc,n34_ind,n34_alloc,n46_ind,n46_alloc,n29_ind,n29_alloc,n45_ind,n45_alloc,n44_ind,n44_alloc,n40_ind,n40_alloc
0,343.658101,57.621682,3.494059,56.459823,3.633178,74.050877,2.747455,72.477017,2.674722,56.077156,2.834417,55.333003,2.929353,71.718063,2.449195,54.758077,2.051725,65.264404,1.986516,52.623490,2.548549
1,297.470620,64.153267,3.797268,67.043347,3.756705,83.622965,2.190176,82.188011,1.797910,65.090772,2.803470,65.332948,2.782464,81.314332,1.687578,57.368242,2.667969,72.169543,1.987914,61.301098,2.626736
2,262.601665,70.184463,3.899934,76.029214,3.452551,89.540562,1.678308,87.494761,1.412749,72.022081,2.705365,72.536248,2.622043,86.480342,1.353766,62.949606,3.052482,77.551543,1.933853,68.375655,2.605146
3,234.200626,75.385443,3.882693,82.715299,3.005814,93.233252,1.283003,90.756804,1.187210,77.381957,2.595278,77.828529,2.486369,89.649088,1.172421,69.320310,3.175378,81.742940,1.867120,74.016461,2.548225
4,210.271309,79.706115,3.797565,87.476087,2.567819,95.568304,0.983381,92.897700,1.039634,81.563751,2.485685,81.784433,2.378061,91.761182,1.063455,75.132166,3.115131,85.027448,1.799034,78.487648,2.480489
5,190.098791,83.230655,3.676423,90.822246,2.184689,97.062117,0.756239,94.363747,0.938003,84.854510,2.379089,84.782316,2.294131,93.254270,0.993922,79.949782,2.964902,87.621312,1.732413,82.037862,2.411426
6,173.215703,86.083163,3.535362,93.171730,1.863131,98.027448,0.583420,95.399929,0.866270,87.462819,2.274464,87.075890,2.230394,94.357539,0.947052,83.786115,2.781948,89.684612,1.666816,84.870495,2.343158
7,159.082202,88.386600,3.382876,94.830491,1.598253,98.657349,0.451651,96.152785,0.815183,89.543036,2.170818,88.841793,2.184045,95.201719,0.913359,86.794737,2.593850,91.336620,1.601498,87.144721,2.275601
8,147.145769,90.248864,3.224840,96.013519,1.382252,99.072689,0.351189,96.714818,0.778826,91.211977,2.068389,90.209083,2.154063,95.866272,0.887282,89.146261,2.413282,92.667745,1.536496,88.983768,2.208798
9,136.920350,91.759531,3.065931,96.868653,1.206941,99.349772,0.274638,97.146032,0.753029,92.559313,1.968232,91.275865,2.140158,96.401789,0.865518,90.989613,2.245943,93.747382,1.472448,90.482701,2.143216
