step,l2,n0_ind,n0_alloc,n64_ind,n64_alloc,n62_ind,n62_alloc,n22_ind,n22_alloc,n10_ind,n10_alloc,n51_ind,n51_alloc,n46_ind,n46_alloc,n55_ind,n55_alloc,n41_ind,n41_alloc,n45_ind,n45_alloc
0,339.131757,77.181272,2.674030,60.031182,2.103042,61.657071,2.101868,62.088879,1.796346,40.634871,2.160123,56.892624,2.051513,49.690545,2.205370,58.627423,1.747801,58.046357,1.606304,57.147814,1.578367
1,293.086948,87.225436,1.287341,66.156934,2.252470,69.109707,2.151284,67.277992,1.920523,44.597647,2.919685,65.768892,2.059106,58.112735,2.385822,63.918782,1.955149,59.953521,1.962819,61.479467,1.965792
2,257.106932,92.068821,0.869794,71.211432,2.301844,75.147965,2.091717,70.264050,2.000605,52.518193,3.288525,72.524082,1.973407,65.834695,2.397391,68.861728,2.057866,62.392292,2.261223,67.094523,2.132678
3,226.667872,94.873171,0.642115,75.382613,2.328255,80.196538,2.001001,72.005231,2.161760,60.757246,3.351232,77.699011,1.883442,72.327635,2.325126,73.406949,2.111711,65.315570,2.524993,72.531108,2.166234
4,200.696124,96.662456,0.489651,78.841408,2.348633,84.445976,1.881001,73.267441,2.400852,67.916180,3.267379,81.720722,1.803378,77.448685,2.221622,77.500910,2.127507,68.578094,2.747139,77.255199,2.133247
5,178.956227,97.860868,0.373627,81.714679,2.366106,87.960876,1.731669,74.473896,2.687220,73.782455,3.131124,84.887773,1.732591,81.347965,2.122120,81.088741,2.109803,71.976015,2.917110,81.175425,2.070410
6,161.055362,98.673056,0.278738,84.095625,2.380107,90.791656,1.560140,75.787332,2.986715,78.500132,2.978193,87.407424,1.667293,84.278799,2.043012,84.151751,2.064163,75.306601,3.028285,84.363112,1.994555
7,146.396869,99.213142,0.199717,86.058622,2.391196,93.014143,1.378336,77.208013,3.272326,82.274455,2.820988,89.428196,1.604733,86.481465,1.989001,86.714583,1.998065,78.415790,3.082140,86.934600,1.913708
8,134.327139,99.557230,0.135714,87.668946,2.401975,94.725631,1.198277,78.663617,3.529882,85.294159,2.665196,91.060310,1.543837,88.146490,1.959941,88.831315,1.919409,81.215636,3.087250,89.006793,1.832366
9,124.245517,99.764253,0.086844,88.986910,2.415992,96.027815,1.028823,80.075685,3.757780,87.716519,2.514502,92.387489,1.484592,89.416051,1.954308,90.568072,1.834962,83.675849,3.055376,90.681770,1.753261
10,115.662573,99.881260,0.052207,90.068332,2.436300,97.012774,0.874834,81.391978,3.962052,89.668075,2.371427,93.474082,1.427378,90.395327,1.970244,91.990534,1.749652,85.804631,2.997954,92.043146,1.677961
11,108.210668,99.943401,0.029497,90.963297,2.464514,97.756457,0.737993,82.590651,4.150731,91.248866,2.237470,94.369822,1.372588,91.162968,2.005591,93.157421,1.666642,87.630631,2.924345,93.157197,1.607227
12,101.624484,99.974469,0.015678,91.714821,2.500579,98.318090,0.618073,83.671294,4.330403,92.537189,2.113303,95.113293,1.320511,91.778505,2.057726,94.118260,1.587742,89.190456,2.841522,94.075608,1.541315
13,95.711897,99.989110,0.007845,92.358296,2.543015,98.742510,0.513954,84.644753,4.505199,93.594013,1.999015,95.734547,1.271314,92.287335,2.123481,94.913474,1.513848,90.521475,2.754401,94.838438,1.480190
14,90.328124,99.995613,0.003694,92.921861,2.589346,99.063255,0.424208,85.526607,4.677049,94.466744,1.894317,96.257087,1.225052,92.724167,2.199151,95.575459,1.445276,91.658291,2.666327,95.476727,1.423665
15,85.358206,99.998334,0.001636,93.427272,2.636512,99.305379,0.347382,86.334315,4.846144,95.192301,1.798698,96.699390,1.181707,93.115399,2.280574,96.129948,1.382002,92.631372,2.579518,96.014611,1.371483
16,80.707557,99.999405,0.000680,93.890860,2.681225,99.487674,0.282105,87.086261,5.011114,95.799533,1.711559,97.076064,1.141225,93.480684,2.363290,96.597323,1.323836,93.466815,2.495440,96.470964,1.323382
17,76.297724,99.999800,0.000265,94.324336,2.720299,99.624339,0.227121,87.800963,5.168967,96.311094,1.632304,97.398736,1.103555,93.833883,2.442807,96.993745,1.270536,94.186643,2.415096,96.860659,1.279144
18,72.064677,99.999937,0.000097,94.735439,2.751000,99.726192,0.181278,88.495654,5.315139,96.744869,1.560408,97.676728,1.068680,94.183699,2.514990,97.332074,1.221882,94.809304,2.339234,97.195510,1.238623
19,67.958469,99.999982,0.000033,95.128566,2.771390,99.801547,0.143502,89.184414,5.443932,97.115064,1.495446,97.917566,1.036633,94.534296,2.576517,97.622596,1.177712,95.350203,2.268475,97.484979,1.201756
