model,budget,step,l2
1,50,0,3314.326245
1,50,100,2946.784096
1,50,200,2663.55572
1,50,300,2429.927193
1,50,400,2227.599283
1,50,500,2047.287168
1,50,600,1884.670911
1,50,700,1737.832437
1,50,800,1605.724597
1,50,900,1487.411199
1,50,1000,1381.803605
1,50,1100,1287.654799
1,50,1200,1203.647882
1,50,1300,1128.491017
1,50,1400,1060.984561
1,50,1500,1000.055911
1,50,1600,944.769415
1,50,1700,894.320521
1,50,1800,848.021544
1,50,1900,805.284129
1,50,2000,765.601826
1,50,2100,728.535079
1,50,2200,693.700074
1,50,2300,660.761993
1,50,2400,629.432184
1,50,2500,599.46782
1,50,2600,570.672057
1,50,2700,542.892746
1,50,2800,516.018552
1,50,2900,489.972398
1,50,3000,464.703285
1,50,3100,440.178147
1,50,3200,416.375337
1,50,3300,393.280656
1,50,3400,370.885848
1,50,3500,349.188689
1,50,3600,328.193539
1,50,3700,307.911383
1,50,3800,288.358934
1,50,3900,269.556798
1,50,4000,251.527087
1,50,4100,234.290878
1,50,4200,217.865948
1,50,4300,202.264996
1,50,4400,187.494493
1,50,4500,173.554121
1,50,4600,160.436756
1,50,4700,148.128841
1,50,4800,136.61106
1,50,4900,125.859169
1,50,5000,115.84491
1,50,5100,106.536933
1,50,5200,97.901666
1,50,5300,89.904106
1,50,5400,82.508517
1,50,5500,75.679025
1,50,5600,69.380105
1,50,5700,63.576978
1,50,5800,58.235919
1,50,5900,53.324484
1,50,6000,48.811679
1,50,6100,44.66806
1,50,6200,40.865803
1,50,6300,37.378725
1,50,6400,34.182279
1,50,6500,31.25353
1,50,6600,28.571104
1,50,6700,26.115135
1,50,6800,23.867198
1,50,6900,21.810234
1,50,7000,19.928477
1,50,7100,18.207377
1,50,7200,16.63352
1,50,7300,15.194559
1,50,7400,13.879134
1,50,7500,12.676803
1,50,7600,11.577981
1,50,7700,10.573866
1,50,7800,9.656388
1,50,7900,8.818148
1,50,8000,8.052363
1,50,8100,7.352824
1,50,8200,6.713842
1,50,8300,6.130211
1,50,8400,5.597167
1,50,8500,5.110349
1,50,8600,4.66577
1,50,8700,4.259782
1,50,8800,3.889051
1,50,8900,3.550528
1,50,9000,3.241424
1,50,9100,2.959193
1,50,9200,2.701504
1,50,9300,2.466232
1,50,9400,2.25143
1,50,9500,2.055322
1,50,9600,1.876285
1,50,9700,1.712837
1,50,9800,1.563622
1,50,9900,1.427403
1,50,10000,1.30305
1,50,10100,1.189531
1,50,10200,1.085903
1,50,10300,0.991306
1,50,10400,0.904952
1,50,10500,0.826125
1,50,10600,0.754168
1,50,10700,0.688483
1,50,10800,0.628524
1,50,10900,0.573792
1,50,11000,0.52383
1,50,11100,0.478224
1,50,11200,0.436593
1,50,11300,0.398591
1,50,11400,0.363902
1,50,11500,0.332236
1,50,11600,0.303329
1,50,11700,0.276942
1,50,11800,0.252854
1,50,11900,0.230865
1,50,12000,0.210792
1,50,12100,0.192468
1,50,12200,0.175739
1,50,12300,0.160468
1,50,12400,0.146526
1,50,12500,0.133799
1,50,12600,0.122179
1,50,12700,0.111571
1,50,12800,0.101886
1,50,12900,0.093044
1,50,13000,0.084971
1,50,13100,0.0776
1,50,13200,0.07087
1,50,13300,0.064725
1,50,13400,0.059115
1,50,13500,0.053992
1,50,13600,0.049314
1,50,13700,0.045043
1,50,13800,0.041142
1,50,13900,0.037581
1,50,14000,0.034328
1,50,14100,0.031358
1,50,14200,0.028645
1,50,14300,0.026168
1,50,14400,0.023906
1,50,14500,0.021839
1,50,14600,0.019952
1,50,14700,0.018229
1,50,14800,0.016655
1,50,14900,0.015217
1,50,15000,0.013903
1,50,15100,0.012703
1,50,15200,0.011608
1,50,15300,0.010606
1,50,15400,0.009692
1,50,15500,0.008857
1,50,15600,0.008093
1,50,15700,0.007396
1,50,15800,0.006759
1,50,15900,0.006177
1,50,16000,0.005645
1,50,16100,0.005159
1,50,16200,0.004715
1,50,16300,0.00431
1,50,16400,0.003939
1,50,16500,0.0036
1,50,16600,0.003291
1,50,16700,0.003008
1,50,16800,0.00275
1,50,16900,0.002514
1,50,17000,0.002298
1,50,17100,0.0021
1,50,17200,0.00192
1,50,17300,0.001755
1,50,17400,0.001605
1,50,17500,0.001467
1,50,17600,0.001341
1,50,17700,0.001226
1,50,17800,0.001121
1,50,17900,0.001025
1,50,17928,0.000999
1,100,0,3310.041052
1,100,100,2660.648877
1,100,200,2225.297711
1,100,300,1882.661274
1,100,400,1603.952792
1,100,500,1380.280271
1,100,600,1202.364181
1,100,700,1059.909182
1,100,800,943.864433
1,100,900,847.251911
1,100,1000,764.937877
1,100,1100,693.116672
1,100,1200,628.90743
1,100,1300,570.18732
1,100,1400,515.559583
1,100,1500,464.260694
1,100,1600,415.943569
1,100,1700,370.461806
1,100,1800,327.776133
1,100,1900,287.949301
1,100,2000,251.128459
1,100,2100,217.48284
1,100,2200,187.131608
1,100,2300,160.098084
1,100,2400,136.299374
1,100,2500,115.561635
1,100,2600,97.64701
1,100,2700,82.28171
1,100,2800,69.179678
1,100,2900,58.05996
1,100,3000,48.658041
1,100,3100,40.732261
1,100,3200,34.06664
1,100,3300,28.47128
1,100,3400,23.781251
1,100,3500,19.85464
1,100,3600,16.570205
1,100,3700,13.824925
1,100,3800,11.531632
1,100,3900,9.616805
1,100,4000,8.018592
1,100,4100,6.685056
1,100,4200,5.572649
1,100,4300,4.644902
1,100,4400,3.871302
1,100,4500,3.226336
1,100,4600,2.688686
1,100,4700,2.240545
1,100,4800,1.867046
1,100,4900,1.555783
1,100,5000,1.296403
1,100,5100,1.080268
1,100,5200,0.900177
1,100,5300,0.750122
1,100,5400,0.625098
1,100,5500,0.52093
1,100,5600,0.434138
1,100,5700,0.361824
1,100,5800,0.301572
1,100,5900,0.251368
1,100,6000,0.209535
1,100,6100,0.174677
1,100,6200,0.145628
