step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3314.326245,40.354998,0.013652,53.756963,0.010569,54.827954,0.010288,49.661391,0.011515,49.332681,0.011592,48.996444,0.011663,51.182139,0.011155,57.276594,0.009769,40.990972,0.013486,49.588865,0.011543
100,2946.784096,57.280109,0.011048,61.182813,0.010021,49.533924,0.012999,61.284351,0.010004,61.312226,0.009997,59.842614,0.010375,59.006619,0.010585,66.540802,0.008646,51.445681,0.012541,65.484540,0.008930
200,2663.555720,68.749163,0.009058,65.568455,0.009959,46.866135,0.015350,68.905725,0.009004,68.807630,0.009031,67.744534,0.009341,64.975547,0.010136,73.764922,0.007600,60.139445,0.011542,75.842370,0.007005
300,2429.927193,76.835456,0.007489,68.092845,0.010291,46.262517,0.017323,74.356642,0.008281,73.866550,0.008438,73.669809,0.008504,69.670039,0.009790,79.392697,0.006659,67.395601,0.010531,82.780487,0.005569
400,2227.599283,82.708131,0.006216,69.421154,0.010963,47.072186,0.018975,78.521409,0.007712,77.511835,0.008071,78.209224,0.007825,73.454633,0.009527,83.782344,0.005827,73.444671,0.009538,87.533602,0.004482
500,2047.287168,87.064627,0.005158,69.972053,0.011940,48.725061,0.020394,81.856390,0.007226,80.293670,0.007845,81.743652,0.007271,76.567790,0.009328,87.213259,0.005096,78.467691,0.008579,90.850825,0.003649
600,1884.670911,90.341926,0.004263,70.037777,0.013186,50.788881,0.021667,84.609817,0.006784,82.522818,0.007700,84.530464,0.006819,79.171255,0.009177,89.900550,0.004455,82.617615,0.007666,93.202379,0.003000
700,1737.832437,92.826308,0.003498,69.839104,0.014660,52.966110,0.022873,86.924329,0.006366,84.379458,0.007601,86.750585,0.006450,81.378326,0.009062,92.009450,0.003893,86.027704,0.006807,94.891987,0.002490
800,1605.724597,94.713471,0.002840,69.548578,0.016309,55.069075,0.024077,88.887809,0.005962,85.968493,0.007524,88.535303,0.006149,83.270714,0.008970,93.667236,0.003400,88.814553,0.006005,96.120576,0.002084
900,1487.411199,96.142918,0.002278,69.298207,0.018074,56.992204,0.025330,90.559394,0.005567,87.350096,0.007455,89.982233,0.005905,84.908923,0.008893,94.972387,0.002967,91.079665,0.005264,97.023734,0.001757
1000,1381.803605,97.218198,0.001801,69.181299,0.019888,58.688077,0.026669,91.982840,0.005182,88.557970,0.007391,91.165226,0.005708,86.338790,0.008824,96.001429,0.002586,92.910864,0.004585,97.694473,0.001492
1100,1287.654799,98.018910,0.001402,69.254402,0.021688,60.148661,0.028119,93.193283,0.004809,89.610898,0.007335,92.140812,0.005550,87.595712,0.008758,96.814014,0.002252,94.383690,0.003971,98.197474,0.001275
1200,1203.647882,98.607791,0.001074,69.542055,0.023420,61.391232,0.029692,94.220524,0.004451,90.520084,0.007295,92.952587,0.005424,88.707440,0.008690,97.456726,0.001960,95.562680,0.003420,98.578238,0.001096
1300,1128.491017,99.034884,0.000810,70.044255,0.025037,62.448040,0.031388,95.090565,0.004109,91.293549,0.007281,93.634320,0.005325,89.696002,0.008618,97.965980,0.001704,96.502497,0.002930,98.869099,0.000947
1400,1060.984561,99.340093,0.000600,70.744926,0.026507,63.358823,0.033198,95.826324,0.003787,91.938437,0.007308,94.212253,0.005247,90.579064,0.008541,98.370250,0.001480,97.248965,0.002498,99.093245,0.000823
1500,1000.055911,99.554925,0.000438,71.619468,0.027803,64.165374,0.035101,96.447980,0.003484,92.461907,0.007387,94.706825,0.005188,91.370944,0.008458,98.691810,0.001284,97.840072,0.002120,99.267451,0.000719
1600,944.769415,99.703862,0.000314,72.640243,0.028908,64.907622,0.037071,96.973193,0.003202,92.871203,0.007533,95.134005,0.005143,92.083372,0.008368,98.948092,0.001113,98.306974,0.001792,99.403954,0.000631
1700,894.320521,99.805573,0.000222,73.779796,0.029811,65.620852,0.039078,97.417279,0.002940,93.173371,0.007761,95.506310,0.005111,92.726074,0.008273,99.152752,0.000965,98.674979,0.001510,99.511758,0.000556
1800,848.021544,99.874008,0.000154,75.012280,0.030506,66.333869,0.041089,97.793390,0.002697,93.374910,0.008086,95.833596,0.005088,93.307215,0.008173,99.316502,0.000836,98.964485,0.001267,99.597537,0.000492
1900,805.284129,99.919388,0.000106,76.313791,0.030990,67.068011,0.043073,98.112698,0.002472,93.481542,0.008525,96.123662,0.005072,93.833737,0.008070,99.447759,0.000724,99.191835,0.001059,99.666282,0.000437
2000,765.601826,99.949051,0.000072,77.662259,0.031267,67.836911,0.045004,98.384600,0.002263,93.498182,0.009095,96.382718,0.005064,94.311616,0.007964,99.553153,0.000626,99.370068,0.000883,99.721753,0.000390
2100,728.535079,99.968173,0.000048,79.037325,0.031344,68.646935,0.046862,98.616922,0.002070,93.429134,0.009817,96.615741,0.005060,94.746050,0.007857,99.637917,0.000542,99.509554,0.000735,99.766805,0.000349
