step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3292.946183,41.393762,0.027304,54.236884,0.021139,54.491508,0.020576,50.397854,0.023031,50.104509,0.023184,49.637244,0.023325,51.634356,0.022311,57.799774,0.019537,41.565456,0.026971,50.577611,0.023087
100,1874.624928,90.606684,0.008434,70.052495,0.026409,50.952529,0.043379,84.814661,0.013527,82.705833,0.015361,84.750771,0.013581,79.353646,0.018337,90.108387,0.008850,82.908707,0.015274,93.416458,0.005910
200,1197.237011,98.672006,0.002094,69.517793,0.047064,61.517996,0.059473,94.317618,0.008853,90.618979,0.014550,93.040519,0.010805,88.800835,0.017374,97.527404,0.003867,95.679177,0.006762,98.630785,0.002142
300,844.179829,99.883680,0.000293,75.081125,0.061216,66.385289,0.082430,97.837098,0.005347,93.423537,0.016128,95.874385,0.010149,93.363260,0.016335,99.339731,0.001638,99.001917,0.002481,99.613239,0.000958
400,626.811085,99.993553,0.000024,83.256295,0.061066,71.365054,0.104139,99.154613,0.003098,92.747043,0.026252,97.217505,0.010136,95.867197,0.015069,99.813450,0.000686,99.780310,0.000810,99.864503,0.000497
500,462.489108,99.999721,0.000002,90.369962,0.050989,76.949243,0.121572,99.695890,0.001618,90.087035,0.052023,98.027789,0.010412,97.330934,0.014104,99.944629,0.000295,99.951708,0.000258,99.945489,0.000289
600,326.103435,99.999986,0.000000,95.208474,0.037608,82.308340,0.138228,99.909400,0.000715,88.929716,0.086272,98.590517,0.011016,98.241133,0.013757,99.982851,0.000135,99.988589,0.000090,99.976376,0.000186
700,215.948452,99.999999,0.000000,97.848547,0.026096,87.641965,0.149271,99.977501,0.000275,90.780088,0.111238,99.008305,0.011973,98.839965,0.014014,99.994556,0.000066,99.997027,0.000036,99.989531,0.000127
800,135.053278,100.000000,0.000000,99.061070,0.018268,92.125243,0.152691,99.995102,0.000096,93.626681,0.123508,99.322248,0.013130,99.245425,0.014625,99.998261,0.000034,99.999166,0.000016,99.995417,0.000089
900,81.376629,100.000000,0.000000,99.580787,0.013418,95.255072,0.151479,99.999026,0.000031,95.995242,0.127810,99.552162,0.014284,99.519143,0.015341,99.999447,0.000018,99.999755,0.000008,99.998050,0.000062
1000,48.045886,100.000000,0.000000,99.804373,0.010469,97.219826,0.148489,99.999818,0.000010,97.596867,0.128327,99.713408,0.015294,99.699992,0.016014,99.999826,0.000009,99.999926,0.000004,99.999196,0.000043
1100,28.074026,100.000000,0.000000,99.904183,0.008663,98.391365,0.145234,99.999967,0.000003,98.589174,0.127360,99.821490,0.016106,99.816290,0.016577,99.999946,0.000005,99.999977,0.000002,99.999678,0.000029
1200,16.318490,100.000000,0.000000,99.950891,0.007554,99.073919,0.142321,99.999994,0.000001,99.180281,0.125966,99.891140,0.016721,99.889198,0.017021,99.999983,0.000003,99.999993,0.000001,99.999874,0.000019
