step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3309.047216,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673,51.410157,0.054673
100,2593.958122,61.551146,0.058135,61.551145,0.058135,61.551200,0.058135,61.551191,0.058135,61.551192,0.058135,61.551146,0.058135,61.551191,0.058135,61.551146,0.058135,61.551200,0.058135,61.551145,0.058135
200,2151.284138,70.258822,0.058704,70.258818,0.058704,70.258944,0.058704,70.258924,0.058704,70.258928,0.058704,70.258819,0.058704,70.258924,0.058704,70.258819,0.058704,70.258944,0.058704,70.258818,0.058704
300,1838.594218,77.208101,0.057610,77.208090,0.057610,77.208253,0.057609,77.208228,0.057609,77.208234,0.057609,77.208091,0.057610,77.208228,0.057609,77.208091,0.057610,77.208253,0.057609,77.208090,0.057610
400,1606.277607,82.546121,0.055568,82.546105,0.055568,82.546270,0.055567,82.546246,0.055567,82.546252,0.055567,82.546106,0.055568,82.546246,0.055567,82.546106,0.055568,82.546270,0.055567,82.546105,0.055568
500,1434.273319,86.572201,0.052969,86.572181,0.052969,86.572331,0.052968,86.572309,0.052968,86.572315,0.052968,86.572182,0.052969,86.572309,0.052968,86.572182,0.052969,86.572331,0.052968,86.572181,0.052969
600,1309.547529,89.588268,0.050060,89.588247,0.050060,89.588373,0.050059,89.588356,0.050060,89.588361,0.050059,89.588248,0.050060,89.588356,0.050060,89.588249,0.050060,89.588373,0.050059,89.588247,0.050060
700,1221.566160,91.848371,0.047030,91.848351,0.047030,91.848453,0.047029,91.848439,0.047030,91.848444,0.047030,91.848352,0.047030,91.848439,0.047030,91.848352,0.047030,91.848453,0.047029,91.848351,0.047030
800,1162.527001,93.550106,0.044028,93.550089,0.044028,93.550169,0.044028,93.550158,0.044028,93.550162,0.044028,93.550089,0.044028,93.550158,0.044028,93.550090,0.044028,93.550169,0.044028,93.550088,0.044028
900,1127.497375,94.841149,0.041165,94.841134,0.041165,94.841196,0.041164,94.841188,0.041164,94.841191,0.041164,94.841134,0.041165,94.841188,0.041164,94.841135,0.041165,94.841196,0.041164,94.841133,0.041165
1000,1114.034738,95.829696,0.038516,95.829684,0.038516,95.829732,0.038515,95.829726,0.038515,95.829729,0.038515,95.829684,0.038516,95.829727,0.038515,95.829685,0.038516,95.829732,0.038515,95.829683,0.038516
