model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
1, adjacency_list, uniform, nan, 0.003060, 0.003060, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
2, adjacency_list, local_spillover, 0.000005, 0.003201, 0.003205, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
3, adjacency_list, global_spillover, 0.001001, 0.003116, 0.004118, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
4, compressed_sparse_row, uniform, nan, 0.003111, 0.003111, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
5, compressed_sparse_row, local_spillover, 0.000004, 0.003234, 0.003238, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
6, compressed_sparse_row, global_spillover, 0.000905, 0.003077, 0.003982, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
1, adjacency_list, uniform, nan, 0.003048, 0.003048, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
2, adjacency_list, local_spillover, 0.000004, 0.002894, 0.002899, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
3, adjacency_list, global_spillover, 0.001031, 0.003024, 0.004055, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
4, compressed_sparse_row, uniform, nan, 0.003059, 0.003059, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
5, compressed_sparse_row, local_spillover, 0.000004, 0.002981, 0.002986, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
6, compressed_sparse_row, global_spillover, 0.000904, 0.003078, 0.003982, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
1, adjacency_list, uniform, nan, 0.003215, 0.003215, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
2, adjacency_list, local_spillover, 0.000005, 0.003156, 0.003161, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
3, adjacency_list, global_spillover, 0.001006, 0.003134, 0.004140, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
4, compressed_sparse_row, uniform, nan, 0.003163, 0.003163, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
5, compressed_sparse_row, local_spillover, 0.000005, 0.003098, 0.003103, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
6, compressed_sparse_row, global_spillover, 0.000905, 0.003307, 0.004211, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 69, 215
1, adjacency_list, uniform, nan, 0.003032, 0.003032, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
2, adjacency_list, local_spillover, 0.000004, 0.002875, 0.002879, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
3, adjacency_list, global_spillover, 0.001030, 0.003167, 0.004196, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
4, compressed_sparse_row, uniform, nan, 0.003001, 0.003001, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
5, compressed_sparse_row, local_spillover, 0.000004, 0.003070, 0.003074, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
6, compressed_sparse_row, global_spillover, 0.000900, 0.003008, 0.003908, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
1, adjacency_list, uniform, nan, 0.002980, 0.002980, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
2, adjacency_list, local_spillover, 0.000005, 0.003125, 0.003130, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
3, adjacency_list, global_spillover, 0.001007, 0.002977, 0.003983, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
4, compressed_sparse_row, uniform, nan, 0.003107, 0.003107, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
5, compressed_sparse_row, local_spillover, 0.000004, 0.003194, 0.003198, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
6, compressed_sparse_row, global_spillover, 0.000906, 0.003280, 0.004186, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
1, adjacency_list, uniform, nan, 0.003092, 0.003092, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
2, adjacency_list, local_spillover, 0.000005, 0.003206, 0.003211, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
3, adjacency_list, global_spillover, 0.001021, 0.003235, 0.004256, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
4, compressed_sparse_row, uniform, nan, 0.002982, 0.002982, 242, 0.000975, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
5, compressed_sparse_row, local_spillover, 0.000005, 0.002961, 0.002966, 243, 0.000944, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
6, compressed_sparse_row, global_spillover, 0.000906, 0.003285, 0.004190, 252, 0.000957, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 138, 430
1, adjacency_list, uniform, nan, 0.008123, 0.008123, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
2, adjacency_list, local_spillover, 0.000010, 0.007870, 0.007880, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
