model,gamma,step,l2
1,0.1,0,3310.041052
1,0.1,100,2660.648877
1,0.1,200,2225.297711
1,0.1,300,1882.661274
1,0.1,400,1603.952792
1,0.1,500,1380.280271
1,0.1,600,1202.364181
1,0.1,700,1059.909182
1,0.1,800,943.864433
1,0.1,900,847.251911
1,0.1,1000,764.937877
1,0.1,1100,693.116672
1,0.1,1200,628.90743
1,0.1,1300,570.18732
1,0.1,1400,515.559583
1,0.1,1500,464.260694
1,0.1,1600,415.943569
1,0.1,1700,370.461806
1,0.1,1800,327.776133
1,0.1,1900,287.949301
1,0.1,2000,251.128459
1,0.1,2100,217.48284
1,0.1,2200,187.131608
1,0.1,2300,160.098084
1,0.1,2400,136.299374
1,0.1,2500,115.561635
1,0.1,2600,97.64701
1,0.1,2700,82.28171
1,0.1,2800,69.179678
1,0.1,2900,58.05996
1,0.1,3000,48.658041
1,0.1,3100,40.732261
1,0.1,3200,34.06664
1,0.1,3300,28.47128
1,0.1,3400,23.781251
1,0.1,3500,19.85464
1,0.1,3600,16.570205
1,0.1,3700,13.824925
1,0.1,3800,11.531632
1,0.1,3900,9.616805
1,0.1,4000,8.018592
1,0.1,4100,6.685056
1,0.1,4200,5.572649
1,0.1,4300,4.644902
1,0.1,4400,3.871302
1,0.1,4500,3.226336
1,0.1,4600,2.688686
1,0.1,4700,2.240545
1,0.1,4800,1.867046
1,0.1,4900,1.555783
1,0.1,5000,1.296403
1,0.1,5100,1.080268
1,0.1,5200,0.900177
1,0.1,5300,0.750122
1,0.1,5400,0.625098
1,0.1,5500,0.52093
1,0.1,5600,0.434138
1,0.1,5700,0.361824
1,0.1,5800,0.301572
1,0.1,5900,0.251368
1,0.1,6000,0.209535
1,0.1,6100,0.174677
1,0.1,6200,0.145628
1,0.1,6300,0.12142
1,0.1,6400,0.101245
1,0.1,6500,0.084429
1,0.1,6600,0.070412
1,0.1,6700,0.058728
1,0.1,6800,0.048988
1,0.1,6900,0.040867
1,0.1,7000,0.034095
1,0.1,7100,0.028449
1,0.1,7200,0.02374
1,0.1,7300,0.019812
1,0.1,7400,0.016536
1,0.1,7500,0.013803
1,0.1,7600,0.011523
1,0.1,7700,0.009621
1,0.1,7800,0.008033
1,0.1,7900,0.006708
1,0.1,8000,0.005603
1,0.1,8100,0.004679
1,0.1,8200,0.003909
1,0.1,8300,0.003265
1,0.1,8400,0.002728
1,0.1,8500,0.002279
1,0.1,8600,0.001905
1,0.1,8700,0.001592
1,0.1,8800,0.00133
1,0.1,8900,0.001112
1,0.1,8960,0.000998
1,0.2,0,3301.484401
1,0.2,100,2220.698706
1,0.2,200,1600.40974
1,0.2,300,1199.799068
1,0.2,400,942.056716
1,0.2,500,763.611566
1,0.2,600,627.858729
1,0.2,700,514.641615
1,0.2,800,415.079418
1,0.2,900,326.940403
1,0.2,1000,250.330403
1,0.2,1100,186.405515
1,0.2,1200,135.676193
1,0.2,1300,97.13824
1,0.2,1400,68.779523
1,0.2,1500,48.351484
1,0.2,1600,33.836018
1,0.2,1700,23.609922
1,0.2,1800,16.444038
1,0.2,1900,11.439305
1,0.2,2000,7.951343
1,0.2,2100,5.52384
1,0.2,2200,3.835979
1,0.2,2300,2.663182
1,0.2,2400,1.848669
1,0.2,2500,1.283184
1,0.2,2600,0.890683
1,0.2,2700,0.618289
1,0.2,2800,0.42926
1,0.2,2900,0.298081
1,0.2,3000,0.207039
1,0.2,3100,0.143845
1,0.2,3200,0.099971
1,0.2,3300,0.069504
1,0.2,3400,0.04834
1,0.2,3500,0.033633
1,0.2,3600,0.023411
1,0.2,3700,0.016302
1,0.2,3800,0.011356
1,0.2,3900,0.007914
