model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
1, adjacency_list, uniform, nan, 3.657348, 3.657348, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
2, adjacency_list, local_spillover, 0.000127, 3.562914, 3.563041, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
3, adjacency_list, global_spillover, 4.658386, 4.385257, 9.043643, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.880365, 1.880365, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000087, 1.884742, 1.884829, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
6, compressed_sparse_row, global_spillover, 4.430472, 2.326613, 6.757085, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
1, adjacency_list, uniform, nan, 3.582527, 3.582527, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
2, adjacency_list, local_spillover, 0.000125, 3.530599, 3.530724, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
3, adjacency_list, global_spillover, 4.660532, 4.382090, 9.042622, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.882685, 1.882685, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000090, 1.883397, 1.883487, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
6, compressed_sparse_row, global_spillover, 4.431532, 2.327285, 6.758817, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
1, adjacency_list, uniform, nan, 3.538869, 3.538869, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
2, adjacency_list, local_spillover, 0.000125, 3.537931, 3.538056, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
3, adjacency_list, global_spillover, 4.673355, 4.428999, 9.102354, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.881884, 1.881884, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000086, 1.882459, 1.882545, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
6, compressed_sparse_row, global_spillover, 4.432483, 2.325369, 6.757853, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 4416, 13760
1, adjacency_list, uniform, nan, 2.024034, 2.024034, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 4416, 13760
2, adjacency_list, local_spillover, 0.000119, 2.034307, 2.034426, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 4416, 13760
3, adjacency_list, global_spillover, 2.332308, 2.479693, 4.812002, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 4416, 13760
