model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
1, adjacency_list, uniform, nan, 0.029613, 0.029613, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
2, adjacency_list, local_spillover, 0.000021, 0.029729, 0.029751, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
3, adjacency_list, global_spillover, 0.064005, 0.033364, 0.097370, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.027951, 0.027951, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000016, 0.027953, 0.027969, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
6, compressed_sparse_row, global_spillover, 0.061995, 0.031318, 0.093312, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
1, adjacency_list, uniform, nan, 0.029894, 0.029894, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
2, adjacency_list, local_spillover, 0.000021, 0.029890, 0.029912, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
3, adjacency_list, global_spillover, 0.064021, 0.033331, 0.097352, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.027976, 0.027976, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000016, 0.027965, 0.027981, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
6, compressed_sparse_row, global_spillover, 0.061963, 0.031252, 0.093215, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
1, adjacency_list, uniform, nan, 0.030018, 0.030018, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
2, adjacency_list, local_spillover, 0.000021, 0.029916, 0.029938, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
3, adjacency_list, global_spillover, 0.063985, 0.033352, 0.097337, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.028070, 0.028070, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000017, 0.028070, 0.028086, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
6, compressed_sparse_row, global_spillover, 0.062002, 0.031444, 0.093445, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 1, 552, 1720
1, adjacency_list, uniform, nan, 0.112635, 0.112635, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
2, adjacency_list, local_spillover, 0.000029, 0.110549, 0.110577, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
3, adjacency_list, global_spillover, 0.135278, 0.127969, 0.263247, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
4, compressed_sparse_row, uniform, nan, 0.110472, 0.110472, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
5, compressed_sparse_row, local_spillover, 0.000025, 0.110601, 0.110627, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
6, compressed_sparse_row, global_spillover, 0.131522, 0.128421, 0.259943, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
1, adjacency_list, uniform, nan, 0.112636, 0.112636, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
2, adjacency_list, local_spillover, 0.000028, 0.110292, 0.110321, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
3, adjacency_list, global_spillover, 0.135474, 0.128395, 0.263869, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
4, compressed_sparse_row, uniform, nan, 0.111464, 0.111464, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
5, compressed_sparse_row, local_spillover, 0.000025, 0.111218, 0.111244, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
6, compressed_sparse_row, global_spillover, 0.131360, 0.127703, 0.259063, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
1, adjacency_list, uniform, nan, 0.112105, 0.112105, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
2, adjacency_list, local_spillover, 0.000029, 0.110345, 0.110373, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
3, adjacency_list, global_spillover, 0.135366, 0.127371, 0.262737, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
4, compressed_sparse_row, uniform, nan, 0.110058, 0.110058, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 2, 1104, 3440
